date_hour,traffic_count_total,lane_count,temp_f,dewpoint_f,humidity_pct,altimeter_in,solar_w_m2,voltage_v,wind_speed_mph,gust_mph,wind_direction_deg,snow_depth_in,precip_1hr_in,snow_interval_in,weather_samples_per_hour,date,observed_date,holiday_name,observed_shifted,is_federal_holiday,is_weekend,hour,day_of_week
2015-01-01 00:00:00,181.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,0,Thursday
2015-01-01 01:00:00,95.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,1,Thursday
2015-01-01 02:00:00,40.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,2,Thursday
2015-01-01 03:00:00,7.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,3,Thursday
2015-01-01 04:00:00,13.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,4,Thursday
2015-01-01 05:00:00,22.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,5,Thursday
2015-01-01 06:00:00,39.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,6,Thursday
2015-01-01 07:00:00,111.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,7,Thursday
2015-01-01 08:00:00,369.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,8,Thursday
2015-01-01 09:00:00,359.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,9,Thursday
2015-01-01 10:00:00,375.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,10,Thursday
2015-01-01 11:00:00,480.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,11,Thursday
2015-01-01 12:00:00,534.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,12,Thursday
2015-01-01 13:00:00,559.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,13,Thursday
2015-01-01 14:00:00,558.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,14,Thursday
2015-01-01 15:00:00,579.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,15,Thursday
2015-01-01 16:00:00,790.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,16,Thursday
2015-01-01 17:00:00,441.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,17,Thursday
2015-01-01 18:00:00,286.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,18,Thursday
2015-01-01 19:00:00,211.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,19,Thursday
2015-01-01 20:00:00,152.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,20,Thursday
2015-01-01 21:00:00,132.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,21,Thursday
2015-01-01 22:00:00,98.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,22,Thursday
2015-01-01 23:00:00,69.0,2,,,,,,,,,,,,,,2015-01-01,2015-01-01,New Year's Day,False,True,False,23,Thursday
2015-01-02 00:00:00,39.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,0,Friday
2015-01-02 01:00:00,22.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,1,Friday
2015-01-02 02:00:00,9.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,2,Friday
2015-01-02 03:00:00,11.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,3,Friday
2015-01-02 04:00:00,31.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,4,Friday
2015-01-02 05:00:00,59.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,5,Friday
2015-01-02 06:00:00,128.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,6,Friday
2015-01-02 07:00:00,324.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,7,Friday
2015-01-02 08:00:00,735.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,8,Friday
2015-01-02 09:00:00,800.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,9,Friday
2015-01-02 10:00:00,676.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,10,Friday
2015-01-02 11:00:00,711.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,11,Friday
2015-01-02 12:00:00,698.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,12,Friday
2015-01-02 13:00:00,632.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,13,Friday
2015-01-02 14:00:00,662.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,14,Friday
2015-01-02 15:00:00,958.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,15,Friday
2015-01-02 16:00:00,1115.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,16,Friday
2015-01-02 17:00:00,664.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,17,Friday
2015-01-02 18:00:00,433.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,18,Friday
2015-01-02 19:00:00,228.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,19,Friday
2015-01-02 20:00:00,189.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,20,Friday
2015-01-02 21:00:00,195.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,21,Friday
2015-01-02 22:00:00,138.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,22,Friday
2015-01-02 23:00:00,90.0,2,,,,,,,,,,,,,,2015-01-02,,,,False,False,23,Friday
2015-01-03 00:00:00,66.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,0,Saturday
2015-01-03 01:00:00,18.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,1,Saturday
2015-01-03 02:00:00,12.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,2,Saturday
2015-01-03 03:00:00,11.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,3,Saturday
2015-01-03 04:00:00,25.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,4,Saturday
2015-01-03 05:00:00,42.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,5,Saturday
2015-01-03 06:00:00,77.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,6,Saturday
2015-01-03 07:00:00,198.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,7,Saturday
2015-01-03 08:00:00,816.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,8,Saturday
2015-01-03 09:00:00,824.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,9,Saturday
2015-01-03 10:00:00,571.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,10,Saturday
2015-01-03 11:00:00,683.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,11,Saturday
2015-01-03 12:00:00,654.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,12,Saturday
2015-01-03 13:00:00,608.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,13,Saturday
2015-01-03 14:00:00,719.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,14,Saturday
2015-01-03 15:00:00,740.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,15,Saturday
2015-01-03 16:00:00,926.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,16,Saturday
2015-01-03 17:00:00,539.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,17,Saturday
2015-01-03 18:00:00,362.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,18,Saturday
2015-01-03 19:00:00,223.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,19,Saturday
2015-01-03 20:00:00,180.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,20,Saturday
2015-01-03 21:00:00,167.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,21,Saturday
2015-01-03 22:00:00,134.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,22,Saturday
2015-01-03 23:00:00,89.0,2,,,,,,,,,,,,,,2015-01-03,,,,False,True,23,Saturday
2015-01-05 00:00:00,20.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,0,Monday
2015-01-05 01:00:00,11.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,1,Monday
2015-01-05 02:00:00,7.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,2,Monday
2015-01-05 03:00:00,10.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,3,Monday
2015-01-05 04:00:00,40.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,4,Monday
2015-01-05 05:00:00,166.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,5,Monday
2015-01-05 06:00:00,317.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,6,Monday
2015-01-05 07:00:00,488.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,7,Monday
2015-01-05 08:00:00,561.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,8,Monday
2015-01-05 09:00:00,398.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,9,Monday
2015-01-05 10:00:00,331.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,10,Monday
2015-01-05 11:00:00,388.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,11,Monday
2015-01-05 12:00:00,379.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,12,Monday
2015-01-05 13:00:00,381.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,13,Monday
2015-01-05 14:00:00,401.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,14,Monday
2015-01-05 15:00:00,548.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,15,Monday
2015-01-05 16:00:00,639.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,16,Monday
2015-01-05 17:00:00,606.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,17,Monday
2015-01-05 18:00:00,403.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,18,Monday
2015-01-05 19:00:00,233.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,19,Monday
2015-01-05 20:00:00,156.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,20,Monday
2015-01-05 21:00:00,103.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,21,Monday
2015-01-05 22:00:00,80.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,22,Monday
2015-01-05 23:00:00,45.0,2,,,,,,,,,,,,,,2015-01-05,,,,False,False,23,Monday
2015-01-06 00:00:00,30.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,0,Tuesday
2015-01-06 01:00:00,8.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,1,Tuesday
2015-01-06 02:00:00,7.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,2,Tuesday
2015-01-06 03:00:00,15.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,3,Tuesday
2015-01-06 04:00:00,41.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,4,Tuesday
2015-01-06 05:00:00,138.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,5,Tuesday
2015-01-06 06:00:00,306.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,6,Tuesday
2015-01-06 07:00:00,506.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,7,Tuesday
2015-01-06 08:00:00,594.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,8,Tuesday
2015-01-06 09:00:00,409.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,9,Tuesday
2015-01-06 10:00:00,389.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,10,Tuesday
2015-01-06 11:00:00,394.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,11,Tuesday
2015-01-06 12:00:00,357.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,12,Tuesday
2015-01-06 13:00:00,410.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,13,Tuesday
2015-01-06 14:00:00,401.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,14,Tuesday
2015-01-06 15:00:00,516.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,15,Tuesday
2015-01-06 16:00:00,645.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,16,Tuesday
2015-01-06 17:00:00,641.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,17,Tuesday
2015-01-06 18:00:00,436.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,18,Tuesday
2015-01-06 19:00:00,227.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,19,Tuesday
2015-01-06 20:00:00,162.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,20,Tuesday
2015-01-06 21:00:00,160.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,21,Tuesday
2015-01-06 22:00:00,77.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,22,Tuesday
2015-01-06 23:00:00,35.0,2,,,,,,,,,,,,,,2015-01-06,,,,False,False,23,Tuesday
2015-01-07 00:00:00,25.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,0,Wednesday
2015-01-07 01:00:00,11.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,1,Wednesday
2015-01-07 02:00:00,5.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,2,Wednesday
2015-01-07 03:00:00,16.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,3,Wednesday
2015-01-07 04:00:00,48.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,4,Wednesday
2015-01-07 05:00:00,151.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,5,Wednesday
2015-01-07 06:00:00,302.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,6,Wednesday
2015-01-07 07:00:00,495.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,7,Wednesday
2015-01-07 08:00:00,587.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,8,Wednesday
2015-01-07 09:00:00,455.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,9,Wednesday
2015-01-07 10:00:00,405.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,10,Wednesday
2015-01-07 11:00:00,444.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,11,Wednesday
2015-01-07 12:00:00,400.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,12,Wednesday
2015-01-07 13:00:00,442.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,13,Wednesday
2015-01-07 14:00:00,449.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,14,Wednesday
2015-01-07 15:00:00,529.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,15,Wednesday
2015-01-07 16:00:00,681.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,16,Wednesday
2015-01-07 17:00:00,617.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,17,Wednesday
2015-01-07 18:00:00,385.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,18,Wednesday
2015-01-07 19:00:00,250.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,19,Wednesday
2015-01-07 20:00:00,193.0,2,,,,,,,,,,,,,,2015-01-07,,,,False,False,20,Wednesday
