horizon_step,lstm_rmse,naive_rmse
1,89.20127879885622,110.91917720689912
2,92.24440620206575,110.89867240119638
3,94.63670577851545,110.89517806903092
4,95.91175877082708,110.89400512466018
5,95.67633946847948,110.89389755771211
6,95.36913119923312,110.8875517802409
7,95.94453756362878,110.84320305688696
8,96.43763621668418,110.65021727337111
9,96.7744437608819,110.10841232869132
10,96.41266618119191,109.5366792379143
11,97.73842683563922,109.35773737113932
12,99.48703166457719,109.26182008547559
13,99.75265129177204,109.18261473740796
14,98.54918477767342,109.180527158889
15,98.73988442447947,109.14998152920711
16,99.92676918102195,109.14882292127697
17,98.34062675814833,109.12887081691589
18,98.369451774915,109.09094958710973
19,96.98700214603267,109.0362338612665
20,94.74129846295264,109.04984345940646
21,94.87530559597968,109.05343788445545
22,93.10842920120606,109.05602860353142
23,95.02307038583923,109.05262688304302
24,98.2875341478701,109.0501964574133
25,101.70022123317183,109.0491265648758
26,103.48334668177233,109.0491461760351
27,103.97046506841173,109.04920675270483
28,104.29452919270685,109.04925992068938
29,104.34620981946883,109.0494298837448
30,103.90706039966936,109.05073946199306
31,103.41791492078843,109.059583606174
32,105.0218968461082,109.092371059753
33,105.83309383112324,109.1012762972427
34,104.44997822470835,109.05389066553285
35,104.31271099237094,109.0654466234922
36,105.46763214229418,109.08553144139132
37,105.3451332057078,109.10535426392315
38,103.79555367488567,109.16044937096939
39,104.83412508874214,109.19970735273694
40,107.32501711592846,109.23957943110965
41,106.59698484577027,109.25354431393659
42,104.50775407334456,109.30183864155656
43,101.78871927468228,109.32416530861698
44,100.90742617560922,109.32671048952933
45,102.19843841517907,109.35483698761641
46,101.59514025595324,109.35068879268852
47,103.73010515023935,109.34650219398304
48,106.16065154910643,109.34638137000671
49,109.68282228287936,109.34579289448672
50,111.359926776548,109.34577724812243
51,112.35544128646127,109.34580593312191
52,111.93800760015408,109.34602628582152
53,111.26173242459345,109.34656738672058
54,110.4704075488982,109.35243848529558
55,109.92091374296878,109.37783977331013
56,111.20527253087172,109.50527601337187
57,110.7213312576602,109.78787298883691
58,109.60441561340139,110.04520979506748
59,109.66651927673168,110.49929627699555
60,112.71294265105782,111.17519447499342
61,113.29517707144092,111.8532014518623
62,112.75175359451289,112.68662371354374
63,114.05324721414934,113.5302948096189
64,116.76018164291192,114.43297891283241
65,116.25031036629423,115.36947090969552
66,116.10380485480215,116.20843858173463
67,115.11649429980775,116.78401202758859
68,114.1046679148666,117.14726178138417
69,115.21919524085725,117.41899957774392
70,112.77479503664296,117.53830244875063
71,114.53725546178622,117.56769138176826
72,116.61518969382263,117.56479587027806
